RPM,Bar,MAP,Temp,TPS,Voltage,MPH,EPCPSI,controlslocked,EPCPWM,Gear,TCC,Fuel,Oil
1701,100.0,56.0,188.6,17.1,12.8,23,69,0,78,3,0,8,78
1701,100.0,56.0,188.6,17.1,12.8,24,47,0,67,3,0,8,79
1684,100.0,45.5,188.8,2.4,12.6,24,47,0,67,3,0,8,79
1684,100.0,45.5,188.8,2.4,12.6,24,47,0,67,3,0,8,79
1684,100.0,45.5,188.8,2.4,12.6,24,47,0,67,3,0,8,79
1279,100.0,28.9,189.0,1.9,12.7,24,35,0,61,3,0,7,67
1279,100.0,28.9,189.0,1.9,12.7,24,35,0,61,3,0,7,67
1279,100.0,28.9,189.0,1.9,12.7,24,35,0,61,3,0,7,67
1279,100.0,28.9,189.0,1.9,12.7,24,35,0,61,3,0,7,67
1144,100.0,25.4,189.1,1.9,12.8,24,46,0,64,3,0,8,57
1144,100.0,25.4,189.1,1.9,12.8,24,46,0,64,3,0,8,57
1144,100.0,25.4,189.1,1.9,12.8,24,46,0,64,3,0,8,57
1144,100.0,25.4,189.1,1.9,12.8,24,46,0,64,3,0,8,57
1156,100.0,24.2,188.8,1.9,12.8,24,56,0,70,3,0,8,59
1156,100.0,24.2,188.8,1.9,12.8,24,56,0,70,3,0,8,59
1156,100.0,24.2,188.8,1.9,12.8,24,56,0,70,3,0,8,59
1156,100.0,24.2,188.8,1.9,12.8,24,56,0,70,3,0,8,59
1134,100.0,23.7,189.0,1.9,12.9,24,48,0,66,3,0,7,57
1134,100.0,23.7,189.0,1.9,12.9,24,48,0,66,3,0,7,57
1134,100.0,23.7,189.0,1.9,12.9,24,48,0,66,3,0,7,57
1134,100.0,23.7,189.0,1.9,12.9,24,48,0,66,3,0,7,57
1093,100.0,23.7,188.6,1.9,12.6,24,48,0,66,3,0,7,57
1093,100.0,23.7,188.6,1.9,12.6,24,54,0,69,3,0,7,55
1093,100.0,23.7,188.6,1.9,12.6,24,54,0,69,3,0,7,55
1093,100.0,23.7,188.6,1.9,12.6,24,54,0,69,3,0,7,55
1087,100.0,24.0,188.8,1.9,12.8,24,54,0,69,3,0,7,55
1087,100.0,24.0,188.8,1.9,12.8,23,56,0,71,3,0,6,52
1087,100.0,24.0,188.8,1.9,12.8,23,56,0,71,3,0,6,52
1087,100.0,24.0,188.8,1.9,12.8,23,56,0,71,3,0,6,52
1066,100.0,24.2,188.7,1.9,12.6,23,56,0,71,3,0,6,52
